,head,relation,tail,literal,narrative,dialogue,speakers,PersonX,PersonY,PersonZ,original_index,split,head_answer,pmi_head_answer,relation_tail_answer,pmi_relation_tail_answer
294,PersonX holds PersonY's face,xIntent,to make PersonY feel better,Efren holds Marilu's face because Efren wants to make Marilu feel better.,Efren holds Marilu's face in her hands and looks into his eyes. She wants to make him feel better and she can see the pain in his eyes. Efren softly kisses Marilu on the forehead and then on the lips.,"[""Marilu, I'm so sorry. I can see how much pain you're in and I want to make it all go away.""
 ""Efren, thank you. Just your presence makes me feel better already. But I don't deserve your kindness, not after what I did.""
 ""Marilu, please don't say that. You didn't do anything wrong.""
 'But I did. I was so wrapped up in my own pain that I forgot about yours. And then when I saw you with Matt, it made everything worse.'
 ""Marilu, it's okay. Really, it is. Matt and I are just friends. There's nothing going on between us.""
 'Are you sure? Because it looked like there was something more than just friendship between the two of you.'
 ""Marilu, no! There's nothing going on between Matt and me, I promise you that. The only thing between us is friendship""
 ""Alright, I believe you. I'm sorry for doubting you.""
 ""It's okay, Marilu. I understand how you could have thought that. But you don't have to worry about Matt and me, there's nothing going on between us.""]","['Efren' 'Marilu' 'Efren' 'Marilu' 'Efren' 'Marilu' 'Efren' 'Marilu'
 'Efren']",Efren,Marilu,,2347847,train,Yes,Yes,Yes,No
295,PersonX tells PersonY to say hi,xIntent,to make PersonY feel better,Rhythm tells Savina to say hi because Rhythm wants to make Savina feel better.,"Rhythm sees that Savina is looking down and wants to make her feel better. He tells her to say hi and she does, giving him a small smile.","[""Savina, what's wrong?"" 'Just thinking about some stuff.'
 'What kind of stuff?' 'Life stuff. You know, the big questions.'
 'Like what?'
 'Like why are we here? What is the meaning of life? Is there a God? Stuff like that.'
 ""Hmm, well those are tough questions indeed. But I think that as long as we live our lives to the best of our abilities and try to be good people, that's all that really matters in the end.""
 ""Maybe you're right. Thanks for talking to me, Rhythm. It helped me feel better.""]",['Rhythm' 'Savina' 'Rhythm' 'Savina' 'Rhythm' 'Savina' 'Rhythm' 'Savina'],Rhythm,Savina,,2352873,train,Yes,Yes,Yes,No
296,PersonX makes PersonY feel better,xIntent,to make PersonY feel better,Yahaira makes Jala feel better because Yahaira wants to make Jala feel better.,Yahaira sees that Jala is upset and she wants to make him feel better. She asks him what's wrong and listens attentively as he tells her his problems. She gives him a hug and reassures him that everything will be alright.,"[""Hey, what's wrong? You look upset.""
 ""Yeah, I am. I'm just having a really tough day.""
 'What happened? Tell me about it.'
 ""Well, my mom is really sick and she's in the hospital. I'm just really worried about her.""
 ""Oh, Jala, I'm so sorry to hear that. Your mom is going to be okay, I promise. Everything will be alright.""
 'Thank you, Yahaira. Just talking to you makes me feel a lot better.']",['Yahaira' 'Jala' 'Yahaira' 'Jala' 'Yahaira' 'Jala'],Yahaira,Jala,,2371371,train,Yes,Yes,Yes,Yes
297,PersonX reveals something to PersonY,xIntent,to make PersonY feel better,Jocelyn reveals something to Keyera because Jocelyn wants to make Keyera feel better.,Jocelyn reveals that she is secretly in love with Keyera because she wants to make Keyera feel better.,"['Hey Keyera.' ""Hey Jocelyn. What's up?""
 'Not much, just thinking about you.' 'Why? Is everything okay?'
 'Yeah, I just wanted to tell you that I love you.'
 'Thank you, Jocelyn. That really means a lot to me. I appreciate your support more than you know.'
 'I just want to make you feel better.'
 ""You're such a sweet person. I'm really lucky to have you in my life.""]","['Jocelyn' 'Keyera' 'Jocelyn' 'Keyera' 'Jocelyn' 'Keyera' 'Jocelyn'
 'Keyera']",Jocelyn,Keyera,,2375996,train,Yes,Yes,Yes,Yes
298,PersonX tries to speak to PersonY,xIntent,to make PersonY feel better,Megan tries to speak to Keron because Megan wants to make Keron feel better.,Megan wanted to make Keron feel better so she went up to her and asked her how she was doing. Keron said that she was feeling a little down and Megan told her that she understood how she felt.,"[""Hey, I noticed you've been sitting over here by yourself and you look kind of down. What's going on?""
 ""Yeah, I'm just feeling a little down today.""
 ""I completely understand how you feel. I've had days like that too. It sounds like something might have happened to make you feel this way. Do you want to talk about it?""
 ""Well, my mom and I got into a big fight yesterday and she ended up grounding me. So now I'm stuck at home with nothing to do.""
 ""That definitely sounds tough. No wonder you're feeling down. But it sounds like your mom is just trying to do what's best for you even if it doesn't seem like it right now.""
 ""Yeah, I know she is. It's just hard being cooped up at home all the time with nothing to do.""
 'Trust me, I know how that feels too. Maybe we can find something to do together to take our mind off things? Do you want to watch a movie or play a game or something?'
 'That would be great! Thanks for understanding how I\'m feeling and wanting to help me out.""']",['Megan' 'Keron' 'Megan' 'Keron' 'Megan' 'Keron' 'Megan' 'Keron'],Megan,Keron,,2385272,train,Yes,Yes,Yes,Yes
299,PersonX shows up in PersonY's life again,xIntent,to make PersonY feel better,Jeremey shows up in Tylon's life again because Jeremey wants to make Tylon feel better.,"Jeremey had been Tylon's friend since high school, but they'd lost touch after graduation. Recently, Jeremey had seen some of Tylon's social media posts and noticed that he seemed to be going through a tough time. She decided to reach out to him and see if he wanted to catch up.","[""Hey, Tylon. I saw your posts on social media and I just wanted to reach out to you. I hope you're doing okay.""
 ""Hey, Jeremey. Thanks for reaching out. Yeah, I've been going through a tough time lately.""
 ""I'm sorry to hear that. What's going on?""
 ""It's just been a lot of personal stuff. Family stuff mostly. My mom has been really sick and it's been hard to watch her go through all of this.""
 ""That sounds really tough. I can't even imagine how you're feeling right now.""
 ""It's been really hard, but I'm trying to stay positive for my mom's sake. She's the one who's really fighting this battle and she's the one who needs our support right now.""
 'That\'s so admirable of you, Tylon. Your mom is lucky to have you as a son.""'
 ""Thanks, Jeremey. It's just been really tough to see her go through all of this. But I know she's a fighter and she's going to beat this.""
 ""I'm sure she will. She has you as her son, after all. You're an amazing person, Tylon.""]","['Jeremey' 'Tylon' 'Jeremey' 'Tylon' 'Jeremey' 'Tylon' 'Jeremey' 'Tylon'
 'Jeremey']",Jeremey,Tylon,,2393825,train,Yes,Yes,Yes,No
300,PersonX brings PersonY comfort,xIntent,to make PersonY feel better,Jaquan brings Emelie comfort because Jaquan wants to make Emelie feel better.,Jaquan brings Emelie a cup of tea because Jaquan knows that Emelie loves tea and she wants to make her feel better.,"['Hey, I brought you a cup of tea.'
 'Oh, thank you. I really appreciate it.'
 'I know how much you love tea, and I wanted to do something to make you feel better.'
 'Thank you so much. It really means a lot to me.'
 'Of course, anything for you. So, how are you feeling?'
 ""I'm feeling a little better, thank you.""
 ""That's great! I'm really glad to hear that.""]",['Jaquan' 'Emelie' 'Jaquan' 'Emelie' 'Jaquan' 'Emelie' 'Jaquan'],Jaquan,Emelie,,2449145,train,Yes,Yes,Yes,Yes
301,PersonX repeats the story to PersonY,xIntent,to make PersonY feel better,Jaycion repeats the story to Ariela because Jaycion wants to make Ariela feel better.,Jaycion repeated the story to Ariela because Jaycion wanted to make Ariela feel better about herself. Jaycion wanted Ariela to know that she was brave and had done nothing wrong.,['' '' '' '' ''],['Jaycion' 'Ariela' 'Jaycion' 'Ariela' 'Jaycion'],Jaycion,Ariela,,2449741,train,Yes,Yes,No,No
302,PersonX grabs PersonY’s heart,xIntent,to make PersonY feel better,Zacchaeus grabs Parth’s heart because Zacchaeus wants to make Parth feel better.,"Zacchaeus wanted to make Parth feel better so she grabbed his heart and held it close. She rubbed her thumb over the top of his heart and felt the steady beat against her palm. She looked into Parth’s eyes and saw the pain there, but she also saw the hope.","[""I'm so sorry, Parth. I know how much your dad meant to you.""
 ""Thanks, Zacchaeus. It's been really tough these past few days. I feel like I'm just going through the motions and not really living.""
 ""I can imagine. It's hard to lose someone we love so much. But I think your dad would want you to keep living and to be happy. He would want you to remember all the good times you had together and cherish those memories.""
 ""Yeah, you're right. He always did say that life is too short to waste time being unhappy. But it's just so hard sometimes...I feel like I'm never going to be able to be happy again without him here with me.""
 ""oh, Parth (She pulls him into a hug)It's okay, I'm here for you. We'll get through this together, I promise.""]",['Zacchaeus' 'Parth' 'Zacchaeus' 'Parth' 'Zacchaeus'],Zacchaeus,Parth,,2454635,train,Yes,Yes,Yes,Yes
303,PersonX is able to restore PersonY's health,xWant,to make PersonY feel better,Stanley is able to restore Adilynn's health. Now Stanley wants to make Adilynn feel better.,"Stanley was able to use her magic to make Adilynn feel better. She waved her wand and said a few words, and Adilynn felt the pain and sickness melting away. Stanley was happy to help her friend, and Adilynn was grateful for the relief.","[""Hi, Adilynn. I'm so glad I was able to help you feel better.""
 'Thank you, Stanley. I really appreciate it. I was feeling pretty awful there for a while.'
 ""No problem at all. That's what friends are for, right? Are you feeling better now?""
 'Yes, thanks to you. The pain and sickness are gone and I feel much better now.'
 ""I'm glad to hear that. So, what were you feeling sick and in pain from?""
 'It was just a stomach bug I think. I started feeling sick yesterday and it got progressively worse throughout the day. By the time you came over, I was in a lot of pain and felt like I was going to vomit.'
 ""That sounds awful. I'm glad I was able to help you feel better. Do you think you'll be able to keep down some food now?""
 'Yes, I think so. Stanley, can I ask you something?'
 'Of course, what is it?'
 'Why did your magic make me feel better when nothing else did?'
 ""Well, it's hard to explain exactly how my magic works. But basically, when I wave my wand and say certain words, it helps to heal people or remove whatever is making them sick or in pain.""
 ""That's amazing! Can your magic cure all illnesses?""
 'No, unfortunately not. My magic can only do so much. But it can help with a lot of different things like headaches, colds, stomach aches, etc.'
 ""That's still really incredible. Thank you again for helping me feel better, Stanley""]","['Stanley' 'Adilynn' 'Stanley' 'Adilynn' 'Stanley' 'Adilynn' 'Stanley'
 'Adilynn' 'Stanley' 'Adilynn' 'Stanley' 'Adilynn' 'Stanley' 'Adilynn']",Stanley,Adilynn,,2459413,train,Yes,Yes,Yes,Yes
304,PersonX spares PersonY's feelings,xWant,to make PersonY feel better,Quenton spares Ozzy's feelings. Now Quenton wants to make Ozzy feel better.,"Quenton was really upset that he had hurt Ozzy's feelings. He went over to Ozzy and said, ""I'm sorry I hurt your feelings. I didn't mean to.""","[""Hey, Ozzy. I'm really sorry about what happened earlier. I didn't mean to hurt your feelings.""
 ""It's okay, Quenton. I know you didn't mean it.""
 'No, I really am sorry. I feel terrible about it.'
 ""Don't worry about it, Quenton. It's not a big deal.""
 ""But it is a big deal to me. I never want to hurt your feelings or make you upset. You're my friend and I care about you a lot.""
 ""I care about you too, Quenton. And I know that you didn't mean to hurt my feelings.""]",['Quenton' 'Ozzy' 'Quenton' 'Ozzy' 'Quenton' 'Ozzy'],Quenton,Ozzy,,2479098,train,Yes,Yes,Yes,Yes
305,PersonX persuades PersonY to come back,xWant,to make PersonY feel better,Babygirl persuades Trina to come back. Now Babygirl wants to make Trina feel better.,Babygirl persuades Trina to come back. He tells Trina that he misses him and that he wants to make things right. Babygirl gives Trina a hug and tells him how sorry he is.,"[""Trina, I'm so sorry. I miss you. Please come back.""
 ""I don't know, Babygirl. Things are really different now.""
 ""I know they are. But that doesn't mean we can't try to make things work again.""
 ""You're right. It doesn't mean that."" 'So will you come back? Please?'
 ""Okay, Babygirl. I'll come back.""]",['Babygirl' 'Trina' 'Babygirl' 'Trina' 'Babygirl' 'Trina'],Babygirl,Trina,,2481335,train,Yes,Yes,Yes,Yes
306,PersonX agrees to adopt PersonY's attitude,xIntent,to make PersonY feel better,Issabella agrees to adopt Paiton's attitude because Issabella wants to make Paiton feel better.,Issabella agrees to adopt Paiton's attitude because Issabella wants to make Paiton feel better about herself. Issabella knows that Paiton has been through a lot lately and she wants to help her feel better.,"[""Hey, I noticed you've been looking kind of down lately. What's up?""
 ""It's just been tough lately. My mom died a few months ago and I'm still really struggling with it. I feel like I'm just not doing well in school and life in general.""
 ""That sounds really tough. I'm so sorry about your mom.""
 ""Thanks. It's just been really hard to deal with everything.""
 ""Well, if there's anything I can do to help, please let me know. In the meantime, why don't we try to adopt each other's attitude for a day? Just to see how it goes.""
 'Yeah, that might be helpful actually. Thank you, Issabella.']",['Issabella' 'Paiton' 'Issabella' 'Paiton' 'Issabella' 'Paiton'],Issabella,Paiton,,2498875,train,Yes,Yes,Yes,Yes
307,PersonX responds to PersonY's feeling,xIntent,to make PersonY feel better,Binyamin responds to Jaylinn's feeling because Binyamin wants to make Jaylinn feel better.,"Binyamin was really touched by Jaylinn's feeling. Binyamin wanted to make Jaylinn feel better, so she decided to spend more time with her and do something special for her.","['Hey, Jaylinn. I wanted to talk to you about something.'
 'What is it, Binyamin? You seem upset.'
 ""I am. I'm really touched by how much you care about me and how much you're feeling right now. I want to make sure that you know that I care about you too. I'm here for you, no matter what. And I want to do something special for you, to show you how much I care.""
 'Binyamin, thank you so much! Just knowing that you care makes me feel so much better already.'
 ""Good. I'm glad I could help. So, what would you like to do?""
 ""Well, I don't know. What do you think?""
 'How about we spend some time together? We can do whatever you want to do.'
 ""That sounds great! I'd love to spend some time with you.""]","['Binyamin' 'Jaylinn' 'Binyamin' 'Jaylinn' 'Binyamin' 'Jaylinn' 'Binyamin'
 'Jaylinn']",Binyamin,Jaylinn,,2500436,train,Yes,Yes,Yes,Yes
308,PersonX feels that PersonY is upset,xIntent,to make PersonY feel better,Jacolby feels that Naomie is upset because Jacolby wants to make Naomie feel better.,Jacolby feels that Naomie is upset because Jacolby wants to make Naomie feel better. Jacolby asks Naomie what is wrong and Naomie responds that they are just feeling a bit down. Jacolby assures Naomie that they will feel better soon and offers to do something nice for them.,"[""Hi, Naomie. You seem upset. What's wrong?""
 ""I'm just feeling a bit down.""
 ""Oh, I'm sorry to hear that. I'll try to make you feel better. Is there anything I can do?""
 'Just being here with me and talking is helping a lot already, thank you.'
 ""Of course, anything for you, my friend. Do you want to talk about what's making you feel down?""
 ""It's just everything, lately. My job, my relationship...I don't know. It all feels like it's not worth it sometimes.""
 ""Well, let's start with your job then. What's been going on at work that's been bothering you?""
 ""It's just the same old thing day in and day out. I don't feel like I'm doing anything meaningful or important with my life.""
 ""That definitely sounds frustrating. Have you talked to your boss about how you're feeling?""
 ""Yeah, but it doesn't really help. They just tell me that I need to stick it out and be patient because things will eventually get better. But I don't know if they ever will...""]","['Jacolby' 'Naomie' 'Jacolby' 'Naomie' 'Jacolby' 'Naomie' 'Jacolby'
 'Naomie' 'Jacolby' 'Naomie']",Jacolby,Naomie,,2511691,train,Yes,Yes,Yes,Yes
309,PersonX tries to reach out to PersonY,xIntent,to make PersonY feel better,Jeramy tries to reach out to Avian because Jeramy wants to make Avian feel better.,"Jeramy reaches out to Avian by putting a hand on his shoulder and saying, ""Hey, it's going to be okay.""","[""Hey, it's going to be okay."" ""I don't know if it is.""
 'Yes, it is. I promise.' 'But how can you know that?'
 ""Because I've been through something similar before and I came out the other side just fine. You will too.""
 'It just feels like everything is falling apart.'
 'I know how you feel, but trust me, things will get better. Just hang in there a little longer. Okay?']",['Jeramy' 'Avian' 'Jeramy' 'Avian' 'Jeramy' 'Avian' 'Jeramy'],Jeramy,Avian,,2521439,train,Yes,Yes,Yes,Yes
310,PersonX invites PersonY for lunch,xIntent,to make PersonY feel better,Alyah invites Emersen for lunch because Alyah wants to make Emersen feel better.,"Alyah invited Emersen for lunch to try and make her feel better. Alyah had been feeling bad herself, but she wanted to put aside her own problems to focus on making Emersen feel better.","['Emersen, how are you feeling?'
 ""Not great. I'm still really upset about what happened with Josh.""
 'I can imagine. It sounds like it was a really tough break-up.'
 ""It was. We were together for two years and I thought things were going great. But then he just up and left me without any explanation. I feel like I've been blindsided.""
 'That does sound difficult to deal with. Have you been talking to anyone about it?'
 ""Yeah, I've been talking to my friends and family a lot. But it's just not the same as talking to someone who's been through something similar. It's hard to explain how I'm feeling to them because they've never gone through anything like this before.""
 ""Yeah, I know how that is. When my last relationship ended, it was really tough for me too. I felt like nobody understood what I was going through because they'd never experienced a break-up before either. But eventually, I found people who had been through similar things and that made a big difference for me. So maybe that's something you can look into too? Finding people who understand what you're going through?""
 ""Yeah, that's a good idea. I'll definitely look into that. Thanks, Alyah.""
 ""No problem. I'm just glad I can help in some way. Let me know if you ever want to talk more about it. I'm always here for you.""]","['Alyah' 'Emersen' 'Alyah' 'Emersen' 'Alyah' 'Emersen' 'Alyah' 'Emersen'
 'Alyah']",Alyah,Emersen,,2521881,train,Yes,Yes,Yes,No
311,PersonX lifts PersonY over his head,xIntent,to make PersonY feel better,Pryce lifts Nigel over his head because Pryce wants to make Nigel feel better.,Pryce decided to lift Nigel over her head to make him feel better. She felt his warm body against her hands and he giggled as she moved him back and forth. His laughter made her feel happy and she kissed his cheek before setting him back down.,"['Hi, Nigel. How are you doing today?'
 ""I'm feeling a bit down today. I'm not sure why.""
 ""Well, let's try and cheer you up then. I'll lift you up in the air and you can giggle and laugh as I move you back and forth. Sound good?""
 'Yes! That does sound good. Thank you, Pryce.']",['Pryce' 'Nigel' 'Pryce' 'Nigel'],Pryce,Nigel,,2540735,train,Yes,Yes,Yes,Yes
312,PersonX puts out PersonY’s hand,xIntent,to make PersonY feel better,Abbigayle puts out Yaquelin’s hand because Abbigayle wants to make Yaquelin feel better.,"Abbigayle took Yaquelin's hand in hers and rubbed it gently, trying to soothe her friend's worry. ""It'll be okay,"" Abbigayle said comfortingly. ""I'm here for you.""","[""It'll be okay. I'm here for you.""
 ""I know, but it's just...I don't know if I can do this.""
 'You can do it. I believe in you.' 'But what if I fail?'
 ""Then we'll try again. We'll never give up on you, no matter what happens.""
 ""Thank you, Abbigayle. Just knowing you're here for me makes me feel a little better.""
 'Anytime, Yaquelin.']","['Abbigayle' 'Yaquelin' 'Abbigayle' 'Yaquelin' 'Abbigayle' 'Yaquelin'
 'Abbigayle']",Abbigayle,Yaquelin,,2542290,train,Yes,Yes,Yes,Yes
313,PersonX and PersonY cry together,xWant,to make PersonY feel better,Devine and Saydee cry together. Now Devine wants to make Saydee feel better.,"Devine and Saydee are crying together. Devine wants to make Saydee feel better, so she gives her a hug.","[''
 ""Thank you, Devine. Just knowing that I have your support means a lot to me. I feel like I'm struggling so much right now and I don't know how to make things better.""
 ""If there's anything I can do to help, please don't hesitate to let me know. In the meantime, why don't we try and think of some happy memories together? That might make you feel a bit better.""
 ""That sounds like a great idea! Let's see...I remember the time when we went on that spontaneous road trip together and ended up at that beautiful waterfall. That was such an amazing experience.""
 ""Yes! I had so much fun on that trip with you! Just being in nature and enjoying each other's company was wonderful.""
 ""It definitely was one of the best trips I've ever been on. Just thinking about it makes me feel a little bit better already""]",['Devine' 'Saydee' 'Devine' 'Saydee' 'Devine' 'Saydee'],Devine,Saydee,,2545650,train,Yes,Yes,Yes,Yes
314,PersonX leads PersonY into the restaurant,xIntent,to make PersonY feel better,Jaela leads Markia into the restaurant because Jaela wants to make Markia feel better.,"Jaela and Markia had a rough day. Jaela felt bad for Markia, so he decided to take him out to dinner. Jaela wanted Markia to feel better, so he picked the most expensive restaurant in town.","[""Hey Markia, I'm sorry to hear about what happened today. I know it wasn't easy. Let's go out to dinner tonight and forget about it all, okay?""
 ""I don't know Jaela. I'm not really in the mood for dinner right now.""
 ""Please, just come out with me. It'll make me feel better if you do. Besides, I'm treating so it won't cost you anything. Come on, say yes!""
 ""Alright, fine. But only because you're treating!""
 'So, what exactly happened today?'
 'It was just a really tough day at work. We lost a big client and my boss was really mad at me.'
 ""I'm sorry to hear that. It sounds like it was rough.""
 ""Yeah, it was pretty bad. But I'm glad you're here with me now. It makes me feel better.""
 ""Of course! That's why I wanted to take you out tonight. So you could forget about your bad day and relax a little bit.""
 'Thanks, Jaela. I appreciate it.']","['Jaela' 'Markia' 'Jaela' 'Markia' 'Jaela' 'Markia' 'Jaela' 'Markia'
 'Jaela' 'Markia']",Jaela,Markia,,2556055,train,Yes,Yes,Yes,Yes
315,PersonX makes PersonY calm down,xNeed,to make PersonY feel better,Ishan made Yariel feel better. Ishan makes Yariel calm down.,Ishan made Yariel feel better by talking to him and making him calm down. Ishan was able to talk to Yariel and make him feel better by making him calm down.,"['Hi Yariel, how are you doing today?'
 ""I'm feeling really anxious and down today.""
 ""That sounds tough. Do you want to talk about what's going on?""
 ""Yeah, I guess so. I'm just really worried about school and if I'm going to pass all my classes.""
 ""It sounds like you're feeling overwhelmed. Have you talked to your teacher about your concerns?""
 'No, not yet.'
 'Maybe that would be a good first step. Just talking to someone who can help ease your worries might make you feel better.'
 ""Yeah, maybe you're right. Thanks for talking to me, Ishan.""]",['Ishan' 'Yariel' 'Ishan' 'Yariel' 'Ishan' 'Yariel' 'Ishan' 'Yariel'],Ishan,Yariel,,2566475,train,Yes,Yes,Yes,Yes
316,PersonX makes a case for PersonY,xIntent,to make PersonY feel better,Keniyah makes a case for Anamarie because Keniyah wants to make Anamarie feel better.,"Keniyah makes a case for Anamarie because Keniyah is Anamarie's friend. Keniyah knows that Anamarie is feeling down about herself, so she tries to make Anamarie feel better by telling her all of the good things about her. Keniyah tells Anamarie that she is a great person who is always there for her friends, and that she is beautiful inside and out.","[""Hey, I know you're feeling down about yourself right now, but I want you to know that you're an amazing person. You're always there for your friends, and you're beautiful inside and out. I'm really proud to be your friend.""
 'Thank you, Keniyah. That means a lot to me. I appreciate your support.'
 ""No problem, Ari. I just want you to know that I think you're awesome, and I know that other people do too. So don't worry, okay?""
 'Okay. Thank you again, Keniyah.' 'Anytime, Ari.']",['Keniyah' 'Anamarie' 'Keniyah' 'Anamarie' 'Keniyah'],Keniyah,Anamarie,,2572616,train,Yes,Yes,Yes,Yes
317,PersonX calls PersonY up,xIntent,to make PersonY feel better,Reed calls Luci up because Reed wants to make Luci feel better.,"Reed called Luci up to invite her over because she wanted to make her feel better. Luci had been feeling down lately, and Reed thought spending some time together would cheer her up.","[""Hey, Luci. I'm just calling to invite you over because I wanted to make you feel better.""
 ""Aww, thank you, Reed. That's really sweet of you. I appreciate it.""
 'No problem at all. So when are you free?'
 'Let me check my schedule and get back to you in a bit, okay?'
 ""Sounds good! I'll talk to you soon.""
 ""Hey, Reed. I'm free tomorrow afternoon if that works for you.""
 ""Perfect! I'll see you then.""]",['Reed' 'Luci' 'Reed' 'Luci' 'Reed' 'Luci' 'Reed'],Reed,Luci,,2593873,train,Yes,Yes,Yes,Yes
318,PersonX slaps PersonY on the back,xIntent,to make PersonY feel better,Teryn slaps Malin on the back because Teryn wants to make Malin feel better.,"Teryn slaps Malin on the back because Teryn wants to make Malin feel better. Teryn knows that Malin is feeling down because of the loss of the game, and she wants to try and cheer her up.","[""Hey, it's not the end of the world.""
 'I know, but it still sucks. We were so close to winning.'
 ""I know, but at least you gave it your all. That's all that really matters in the end.""
 ""Yeah, I guess you're right. Thanks for cheering me up, Teryn.""
 ""No problem! That's what friends are for, right?"" 'Right.'
 'So, what are you going to do now?'
 ""I'm not sure. I think I'll just go home and get some rest.""
 ""Okay, well, if you need anything, don't hesitate to call me.""
 ""I won't. Thanks again, Teryn."" 'No problem! Take care of yourself.']","['Teryn' 'Malin' 'Teryn' 'Malin' 'Teryn' 'Malin' 'Teryn' 'Malin' 'Teryn'
 'Malin' 'Teryn']",Teryn,Malin,,2612949,train,Yes,Yes,No,No
319,PersonX tells PersonY the secret to success,xIntent,to make PersonY feel better,Paolo tells Kainen the secret to success because Paolo wants to make Kainen feel better.,Paolo tells Kainen that the secret to success is perseverance. Paolo wants Kainen to feel better because she knows he is having a tough time.,"[""I know you're having a tough time, but I want you to know that the secret to success is perseverance.""
 'What do you mean?'
 ""I mean, no matter how hard things get, you have to keep going. You can't give up.""
 ""But it's so hard sometimes. I feel like I can't do it anymore.""
 ""I know it is, but you have to believe in yourself. You're stronger than you think. And I'm here for you, every step of the way. We'll get through this together.""
 ""Thank you, Paolo. Just knowing you're here for me makes me feel a little better.""
 ""Of course, Kainen. That's what friends are for.""]",['Paolo' 'Kainen' 'Paolo' 'Kainen' 'Paolo' 'Kainen' 'Paolo'],Paolo,Kainen,,2616451,train,Yes,Yes,Yes,Yes
320,PersonX lights up PersonY's cigarette,xIntent,to make PersonY feel better,Javarius lights up Dewey's cigarette because Javarius wants to make Dewey feel better.,Javarius lights up Dewey's cigarette because Javarius wants to make Dewey feel better about her mother's death.,"[""I'm so sorry about your mom, Dewey."" ""It's okay, I'm handling it.""
 ""Yeah, I can tell. You're so strong.""
 ""Thanks, Javarius. It's just really hard sometimes. Especially when I see other people with their moms and I realize how much I miss her.""
 ""I know how you feel. My mom died a few years ago and it was really tough for me too. But we got through it together and we'll get through this too, Dewey.""
 'Yeah, I know. It just sucks sometimes.'
 ""I know. But you're not alone, Dewey. I'm here for you and so are your friends. We all love you and we'll support you through this.""]",['Javarius' 'Dewey' 'Javarius' 'Dewey' 'Javarius' 'Dewey' 'Javarius'],Javarius,Dewey,,2616686,train,Yes,Yes,No,No
321,PersonX takes the hand of PersonY,xIntent,to make PersonY feel better,Mikhail takes the hand of Tasha because Mikhail wants to make Tasha feel better.,Mikhail took Tasha's hand because he wanted to make Tasha feel better. Mikhail had seen the sadness in Tasha's eyes and wanted to do something to help. Taking Tasha's hand was a way of showing his support and care.,"[""Hey, I noticed that you've been looking kind of down lately. What's going on?""
 ""Oh, it's nothing really. I'm just struggling with some stuff right now.""
 ""Do you want to talk about it? I'm here for you, no matter what it is.""
 ""Thanks, Mikhail. Just knowing that you're here for me makes me feel a little better already.""
 ""Of course, anything for my best friend. So, what's going on?""
 ""Well, my parents are getting a divorce and it's just really hard to see them fighting all the time. They're always yelling at each other and it's just really stressful.""
 ""Yeah, I can imagine how that would be tough to deal with. Have you talked to them about how you're feeling?""
 ""Yeah, I've tried but they just don't seem to listen or care about how I feel. They're too wrapped up in their own problems to worry about me right now.""
 ""That sucks but try not to let it get to you too much. They'll come around eventually and realize how much they need you in their lives. In the meantime, we'll be here for you, no matter what happens.""]","['Mikhail' 'Tasha' 'Mikhail' 'Tasha' 'Mikhail' 'Tasha' 'Mikhail' 'Tasha'
 'Mikhail']",Mikhail,Tasha,,2646707,train,Yes,Yes,Yes,No
322,PersonX sees PersonY weeping,xWant,to make PersonY feel better,Denise sees Anaiah weeping. Now Denise wants to make Anaiah feel better.,Denise sees Anaiah weeping. Denise feels bad for Anaiah and wants to make Anaiah feel better. Denise goes over to Anaiah and gives her a hug.,"[""Oh, Anaiah, what's wrong?""
 ""It's just...everything. My parents, school, life in general. I don't know if I can keep going like this.""
 ""Hey, it's okay. I'm here for you. We'll get through this together, okay?""
 ""Thank you, Denise. Just knowing you're here for me makes me feel a little better.""
 ""Of course, anything for my best friend. Now let's talk about what's been going on. Maybe we can figure out a plan to make things better.""
 'Yeah, that would be great.'
 ""So, what's been going on with your parents?""
 ""Well, they've been fighting a lot lately and it's really stressing me out. I don't know how to deal with it.""
 'Have you talked to them about it?'
 'I tried, but they just brushed me off and said I was worrying too much.'
 ""That must be really tough for you. It sounds like they're not really listening to you.""
 ""Yeah, I feel like they don't really care about what I have to say.""
 'Well, maybe we can brainstorm some other ways for you to communicate with them or get them to listen to you better. Do you want to try that?'
 'Yeah, definitely. I need all the help I can get right now.']","['Denise' 'Anaiah' 'Denise' 'Anaiah' 'Denise' 'Anaiah' 'Denise' 'Anaiah'
 'Denise' 'Anaiah' 'Denise' 'Anaiah' 'Denise' 'Anaiah']",Denise,Anaiah,,2648314,train,Yes,Yes,Yes,Yes
323,PersonX whispers in PersonY's ear,xIntent,to make PersonY feel better,Kaizer whispers in Stuart's ear because Kaizer wants to make Stuart feel better.,Kaizer whispered in Stuart's ear that she loved him and that everything would be alright. She wanted to make him feel better after the tough day he had at work.,"[""I'm so sorry that your day was tough. I know how hard you work, and you always do your best.""
 ""It's just been one of those days. I feel like I can't catch a break.""
 ""Well, I'm here for you. I love you, and I know everything will be alright. Just lean on me and let me help you through this tough time.""
 ""Thank you, Kaizer. Just knowing that you're here for me makes me feel better already.""
 ""Of course, honey. I'll always be here for you. You're my everything.""]",['Kaizer' 'Stuart' 'Kaizer' 'Stuart' 'Kaizer'],Kaizer,Stuart,,2650022,train,Yes,Yes,Yes,Yes
